Carry,TotalDistance,BallSpeed,BackSpin,SideSpin,HLA,VLA,Decent,DistanceToPin,PeakHeight,Offline,rawSpinAxis,rawCarryGame,rawCarryLM,Club,ClubSpeed,Path,AoA,FaceToTarget,FaceToPath,Lie,Loft,DynamicLoft,CR,HI,VI,SmashFactor
107.7967,111.267,88.85565,10604.26,-74,0.3617833,28.30383,51.83127,11.27 yds,84.36287,0.3406378,-0.399832,107.9193,0,SW,0,0,0,0,0,0,0,0,0,0,0,0
119.1369,123.2502,94.71478,9129.013,15,0.364364,27.35527,51.94904,23.26 yds,92.3876,0.8498655,0.09414349,119.2559,0,GW,0,0,0,0,0,0,0,0,0,0,0,0
116.9547,121.0067,93.03293,9454.635,296,0.3288382,26.05162,50.41257,21.13 yds,84.73013,2.352622,1.794075,117.0694,0,GW,0,0,0,0,0,0,0,0,0,0,0,0
118.7628,122.9133,94.10287,9239.063,274,0.1716151,26.254,50.2464,22.99 yds,87.41307,1.983943,1.699452,118.783,0,GW,0,0,0,0,0,0,0,0,0,0,0,0
124.9183,128.5997,98.9903,9779.192,-375,-0.1225451,26.02624,51.86807,28.68 yds,96.88049,-2.648857,-2.197644,125.0407,0,GW,0,0,0,0,0,0,0,0,0,0,0,0
135.1579,138.7623,103.3498,8224.62,-244,-0.5264664,24.60185,51.37531,38.85 yds,99.41137,-3.231574,-1.700045,135.2564,0,PW,0,0,0,0,0,0,0,0,0,0,0,0
134.9112,138.588,102.9782,8114.435,-84,-1.343675,24.52774,50.69633,38.73 yds,98.30264,-3.852886,-0.5931321,134.998,0,PW,0,0,0,0,0,0,0,0,0,0,0,0
134.5173,138.1533,102.775,8179.012,14,-0.5120391,24.45758,50.7187,38.17 yds,97.66396,-1.089127,0.09807313,134.5366,0,PW,0,0,0,0,0,0,0,0,0,0,0,0
135.3557,139.2443,102.3029,7584.646,-158,-2.210146,23.91249,49.58816,39.65 yds,94.03965,-6.574656,-1.193647,135.4704,0,PW,0,0,0,0,0,0,0,0,0,0,0,0
134.8496,138.4453,103.2817,8444.16,-191,-1.724528,24.18906,50.68172,38.74 yds,97.82375,-5.579138,-1.296094,134.9515,0,PW,0,0,0,0,0,0,0,0,0,0,0,0
145.2306,150.8238,107.8808,7324.776,510,0.1785853,22.19134,49.52641,17.94 ft,97.69841,5.491332,3.992546,145.23,0,I9,0,0,0,0,0,0,0,0,0,0,0,0
146.0087,151.7102,107.8192,7189.873,-112,-0.4126556,20.91786,48.22293,6.94 ft,92.12415,-2.171537,-0.8925592,146.015,0,I9,0,0,0,0,0,0,0,0,0,0,0,0
145.8929,151.3288,108.3873,7414.797,400,0.1467093,22.0006,49.43109,13.96 ft,98.05712,4.325043,3.09239,145.9146,0,I9,0,0,0,0,0,0,0,0,0,0,0,0
154.0591,158.4773,114.015,7699.574,94,0.1213607,20.98067,50.57399,19.95 ft,105.1717,1.327041,0.6995111,154.153,0,I9,0,0,0,0,0,0,0,0,0,0,0,0
162.4573,168.4258,117.7238,6859.834,107,-0.06641536,20.38271,50.15684,16.5 yds,108.8398,1.163528,0.8937383,162.6112,0,I8,0,0,0,0,0,0,0,0,0,0,0,0
174.6161,180.8497,122.4719,5924.01,361,0.7360588,17.96832,48.07819,29.86 yds,104.5286,7.855155,3.493681,174.6702,0,I7,0,0,0,0,0,0,0,0,0,0,0,0
171.174,178.4866,119.6945,5669.696,484,0.7032808,17.69919,46.63025,28.14 yds,97.22313,9.526381,4.897079,171.1696,0,I7,0,0,0,0,0,0,0,0,0,0,0,0
175.2871,180.9165,123.5586,6159.718,214,-0.5146081,17.96471,48.83588,29 yds,107.0996,1.696815,1.990962,175.3443,0,I7,0,0,0,0,0,0,0,0,0,0,0,0
173.4764,180.3177,121.9377,6004.625,282,-0.03301057,17.67367,48.08784,28.65 yds,102.1558,4.187922,2.691817,173.6063,0,I7,0,0,0,0,0,0,0,0,0,0,0,0
182.6685,187.4525,126.9203,5674.086,-465,-2.059333,18.69112,49.67171,38.04 yds,116.5902,-14.67568,-4.700748,182.6737,0,I7,0,0,0,0,0,0,0,0,0,0,0,0
194.6134,200.1865,129.7035,4624.173,-40,-0.9085335,16.18696,46.41054,48.34 yds,105.4656,-3.959029,-0.4956259,194.6231,0,I6,0,0,0,0,0,0,0,0,0,0,0,0
189.0617,194.6612,127.6422,4904.604,188,-0.9320627,15.46441,45.34401,42.69 yds,98.2086,0.6585178,2.196761,189.2267,0,I6,0,0,0,0,0,0,0,0,0,0,0,0
192.237,197.5389,130.1874,5114.503,124,0.018416,15.97883,46.9812,45.62 yds,106.5463,2.544697,1.38926,192.263,0,I6,0,0,0,0,0,0,0,0,0,0,0,0
198.0628,204.6436,130.0095,4064.096,-28,-0.6941973,13.63262,41.2434,52.74 yds,88.19553,-3.070045,-0.3947482,198.2106,0,I5,0,0,0,0,0,0,0,0,0,0,0,0
206.7591,213.1448,135.228,4174.222,-43,-0.9918448,12.87313,42.07789,61.31 yds,92.59354,-4.66414,-0.5902327,206.8882,0,I5,0,0,0,0,0,0,0,0,0,0,0,0
204.1032,210.6783,133.7062,4109.869,200,0.649689,12.73126,41.30768,59.07 yds,88.69804,7.268968,2.789306,204.0919,0,I5,0,0,0,0,0,0,0,0,0,0,0,0
204.7808,210.5034,135.0579,4489.2,344,-0.8071023,15.1753,45.94295,58.73 yds,108.1954,5.420968,4.39479,204.8375,0,I5,0,0,0,0,0,0,0,0,0,0,0,0
216.2379,226.9029,139.3874,3584.915,81,-2.149286,10.60673,37.50447,75.09 yds,79.73116,-5.750403,1.29469,216.2037,0,I4,0,0,0,0,0,0,0,0,0,0,0,0
201.9346,209.0862,132.7937,3959.514,372,-2.081198,11.73705,39.10503,57.14 yds,79.63809,1.833433,5.390943,202.0547,0,I4,0,0,0,0,0,0,0,0,0,0,0,0
209.4955,217.0211,137.1977,3839.391,620,-1.234864,10.91145,37.92352,65.93 yds,78.97594,11.9301,9.293041,209.6392,0,I4,0,0,0,0,0,0,0,0,0,0,0,0
214.671,222.3042,140.5479,4339.515,790,-1.424558,14.82894,46.59514,71.7 yds,113.2843,15.70654,10.48907,214.8305,0,I4,0,0,0,0,0,0,0,0,0,0,0,0
234.509,246.908,146.3204,3149.202,-87,-1.959718,11.13134,38.89359,95.4 yds,89.10854,-11.16285,-1.583057,234.6661,0,W5,0,0,0,0,0,0,0,0,0,0,0,0
231.7816,243.817,145.4099,3264.072,199,0.3309038,11.29993,39.46926,92.12 yds,90.16969,8.26019,3.495308,231.93,0,W5,0,0,0,0,0,0,0,0,0,0,0,0
258.7991,269.5624,160.5813,3424.582,256,-0.7430428,10.53017,42.38925,117.73 yds,107.6008,6.897974,4.287068,258.8712,0,W3,110.4534,2.485579,-0.9230139,0,0,0,0,0,0,0,0,1.453838
295.0653,310.3262,170.5787,2064.096,93,-3.731046,11.18292,35.12848,158.66 yds,94.18169,-13.66182,2.582395,295.174,0,DR,121.3557,4.472828,2.272825,0,0,0,0,0,0,0,0,1.405609
295.0363,310.7624,171.4382,2074.364,-252,-1.215375,10.95598,34.25501,159.62 yds,92.11777,-21.12595,-6.9777,294.9978,0,DR,115.3572,3.1779,2.883671,0,0,0,0,0,0,0,0,1.486152
296.891,312.1331,173.5015,2199.761,-207,-4.346252,10.29374,35.00398,162.23 yds,92.31406,-34.4737,-5.399586,296.9643,0,DR,122.8801,3.608358,3.183078,0,0,0,0,0,0,0,0,1.411958
293.9746,304.8903,173.5081,2749.5,282,-0.005892521,12.23441,43.41846,153.37 yds,127.8914,15.39217,5.886843,294.0553,0,DR,115.6282,2.328513,4.068422,0,0,0,0,0,0,0,0,1.500569
