Carry,TotalDistance,BallSpeed,BackSpin,SideSpin,HLA,VLA,Decent,DistanceToPin,PeakHeight,Offline,rawSpinAxis,rawCarryGame,rawCarryLM,Club,ClubSpeed,Path,AoA,FaceToTarget,FaceToPath,Lie,Loft,DynamicLoft,CR,HI,VI,SmashFactor
155.0589,161.8498,110.9441,5969.906,-104,-2.502288,20.24094,47.46669,267.2 yds,93.77818,-8.077711,-0.9981837,155.0912,0,I8,0,0,0,0,0,0,0,0,0,0,0,0
154.8305,161.6384,111.0311,6094.797,-148,-1.778297,19.68705,46.56913,267.3 yds,91.52462,-6.6326,-1.391451,154.9459,0,I8,0,0,0,0,0,0,0,0,0,0,0,0
159.0477,165.8375,113.2659,5904.383,-350,0.1733959,20.51978,47.9628,262.96 yds,99.39806,-4.186233,-3.398371,159.1599,0,I8,0,0,0,0,0,0,0,0,0,0,0,0
157.7099,164.4852,112.7358,6064.272,-401,-1.63178,19.77254,47.13986,264.72 yds,94.98871,-9.630212,-3.79145,157.8056,0,I8,0,0,0,0,0,0,0,0,0,0,0,0
153.2907,159.8302,110.4527,6209.939,-108,0.5191932,20.64404,47.87041,268.87 yds,94.95883,0.08862557,-0.9965084,153.4069,0,I8,85.55225,2.053282,-6.49004,0,0,0,0,0,0,0,0,1.291056
90.87154,93.96794,78.50369,11134.42,-737,-2.385085,30.52624,51.28813,26.92 ft,70.52665,-6.171369,-3.795249,90.95507,0,LW,0,0,0,0,0,0,0,0,0,0,0,0
89.28751,92.445,77.95891,10619.67,-315,-0.972847,32.85892,52.19172,24.15 ft,75.26347,-2.552605,-1.699753,89.30898,0,LW,0,0,0,0,0,0,0,0,0,0,0,0
86.29212,89.53194,75.54506,10219.24,-214,-0.9464582,32.85324,51.71555,10.72 yds,70.31815,-2.096858,-1.199912,86.32175,0,LW,0,0,0,0,0,0,0,0,0,0,0,0
85.37474,88.43306,75.07317,11119.06,38,-0.06278807,31.25278,50.74607,11.57 yds,65.84207,0.0159674,0.1958118,85.38268,0,LW,0,0,0,0,0,0,0,0,0,0,0,0
89.82431,93.04087,78.27632,10344.06,36,0.9732382,33.26833,52.94143,21.55 ft,76.86609,1.648272,0.1994045,89.84694,0,LW,0,0,0,0,0,0,0,0,0,0,0,0
102.2013,103.369,85.7383,10974.81,325,0.597861,29.268,52.24743,12.5 ft,81.21326,2.394929,1.696963,102.2168,0,SW,0,0,0,0,0,0,0,0,0,0,0,0
101.9906,103.2764,84.856,10949.39,229,0.3759665,27.68257,50.15603,10.99 ft,74.87387,1.586414,1.198394,101.9764,0,SW,0,0,0,0,0,0,0,0,0,0,0,0
105.4418,108.2361,87.377,10799.15,56,0.2181728,28.29815,51.44537,24.79 ft,81.51648,0.6460387,0.2971141,105.5729,0,SW,0,0,0,0,0,0,0,0,0,0,0,0
