Carry,TotalDistance,BallSpeed,BackSpin,SideSpin,HLA,VLA,Decent,DistanceToPin,PeakHeight,Offline,rawSpinAxis,rawCarryGame,rawCarryLM,Club,ClubSpeed,Path,AoA,FaceToTarget,FaceToPath,Lie,Loft,DynamicLoft,CR,HI,VI,SmashFactor
261.0256,250.8017,161.5741,2709.422,-618,-1.663772,10.46505,38.73199,132.4 yds,94.52254,-36.1931,-13.18482,265.6124,0,W3,111.4774,-0.7628385,-1.128205,0,0,0,0,0,0,0,0,1.449388
261.2359,250.0918,161.272,2884.914,-321,-2.848337,11.08849,42.08445,144.64 yds,106.5836,-27.97784,-6.388443,266.8114,0,W3,111.2941,-1.985881,-1.210098,0,0,0,0,0,0,0,0,1.449061
240.5424,261.7779,157.7026,2659.769,97,-3.451406,12.12705,47.39194,156.74 yds,112.5136,-11.28619,2.090002,264.514,0,W3,110.8082,-1.227523,-0.664,0,0,0,0,0,0,0,0,1.423203
242.6301,258.8848,158.5958,2474.727,-395,-2.340637,11.44658,44.54472,156.08 yds,101.0063,-30.13018,-9.184466,265.5424,0,W3,111.8066,-1.910726,-1.566513,0,0,0,0,0,0,0,0,1.418483
247.2081,251.1637,159.5592,2564.719,-348,-5.881408,9.814977,39.25994,166.28 yds,89.12347,-43.03715,-7.798369,263.2444,0,W3,111.7095,-2.716581,-1.551608,0,0,0,0,0,0,0,0,1.428341
243.9238,272.5697,160.6828,2959.629,61,-4.397121,10.81161,48.30783,178.38 yds,110.8397,-17.59051,1.180989,265.1047,0,W3,112.7247,-4.75864,-3.267447,0,0,0,0,0,0,0,0,1.425445
281.2015,295.3371,169.8909,2524.575,114,-2.418537,12.48696,45.47038,173.63 yds,123.3493,-5.875072,2.588135,291.6148,0,DR,118.2758,-3.030152,2.462584,-2.945505,-0.08464718,5.29465,14.6607,12.56151,2518.984,-4.509246,3.453402,1.436396
282.4514,297.2874,170.5873,2384.784,166,-3.291301,11.909,43.36531,177.42 yds,113.9886,-7.296662,3.991471,293.7086,0,DR,119.3366,-2.552497,1.586628,-2.930936,0.3784392,4.84112,15.07009,13.71741,2581.936,-0.919565,4.940464,1.429463
287.3297,302.6095,171.6615,2549.912,266,-4.433518,12.2107,43.5723,179.2 yds,121.8142,-7.720024,5.987836,293.7555,0,DR,120.7862,-3.427767,2.238588,-3.094628,-0.3331389,4.553846,16.17585,14.34164,2357.145,5.331591,3.400895,1.421201
266.0017,275.283,175.1256,3134.067,251,-1.179983,12.57076,54.36611,154.22 yds,147.6731,6.77605,4.593603,290.9617,0,DR,121.4563,-2.70509,2.667306,-2.096617,-0.6084726,4.090365,17.27775,14.85279,2575.596,-7.678652,-3.63313,1.441882
260.5251,263.9941,172.6108,2734.387,214,-4.300699,10.72155,51.17624,147.37 yds,118.0378,-10.47962,4.488702,290.7926,0,DR,120.4294,-2.855227,2.085626,-2.46047,-0.3947566,5.420444,14.68179,12.90902,2551.008,3.234006,-2.484687,1.433295
